,Acquisition Function,Trial,Datapoints Acquired,Best Solubility
224,Human,0,224,1.0824249982833862
225,Human,0,225,1.0824249982833862
226,Human,0,226,1.0824249982833862
227,Human,0,227,1.0824249982833862
228,Human,0,228,1.0824249982833862
229,Human,0,229,1.0824249982833862
230,Human,0,230,1.0824249982833862
231,Human,0,231,1.0824249982833862
232,Human,0,232,1.0824249982833862
233,Human,0,233,1.0824249982833862
234,Human,0,234,1.0824249982833862
235,Human,0,235,1.0824249982833862
236,Human,0,236,1.0824249982833862
237,Human,0,237,1.0824249982833862
238,Human,0,238,1.0824249982833862
239,Human,0,239,1.0824249982833862
240,Human,0,240,1.0824249982833862
241,Human,0,241,1.0824249982833862
242,Human,0,242,1.0824249982833862
243,Human,0,243,1.0824249982833862
244,Human,0,244,1.0824249982833862
245,Human,0,245,1.0824249982833862
246,Human,0,246,1.0824249982833862
247,Human,0,247,1.0824249982833862
248,Human,0,248,1.0824249982833862
249,Human,0,249,1.0824249982833862
250,Human,0,250,1.0824249982833862
251,Human,0,251,1.0824249982833862
252,Human,0,252,1.0824249982833862
253,Human,0,253,1.0824249982833862
254,Human,0,254,1.0824249982833862
255,Human,0,255,1.0824249982833862
256,Human,0,256,1.0824249982833862
257,Human,0,257,1.0824249982833862
258,Human,0,258,1.0824249982833862
259,Human,0,259,1.0824249982833862
260,Human,0,260,1.0824249982833862
261,Human,0,261,1.0824249982833862
262,Human,0,262,1.0824249982833862
263,Human,0,263,1.0824249982833862
264,Human,0,264,1.0824249982833862
265,Human,0,265,1.0824249982833862
266,Human,0,266,1.0824249982833862
267,Human,0,267,1.0824249982833862
268,Human,0,268,1.0824249982833862
269,Human,0,269,1.0824249982833862
270,Human,0,270,1.0824249982833862
271,Human,0,271,1.0824249982833862
272,Human,0,272,1.0824249982833862
273,Human,0,273,1.0824249982833862
274,Human,0,274,1.0824249982833862
275,Human,0,275,1.0824249982833862
276,Human,0,276,1.0824249982833862
277,Human,0,277,1.0824249982833862
278,Human,0,278,1.0824249982833862
279,Human,0,279,1.0824249982833862
280,Human,0,280,1.0824249982833862
281,Human,0,281,1.0824249982833862
282,Human,0,282,1.0824249982833862
283,Human,0,283,1.0824249982833862
284,Human,0,284,1.0824249982833862
285,Human,0,285,1.0824249982833862
286,Human,0,286,1.0824249982833862
287,Human,0,287,1.0824249982833862
288,Human,0,288,1.0824249982833862
289,Human,0,289,1.0824249982833862
290,Human,0,290,1.0824249982833862
291,Human,0,291,1.0824249982833862
292,Human,0,292,1.0824249982833862
293,Human,0,293,1.0824249982833862
294,Human,0,294,1.0824249982833862
295,Human,0,295,1.0824249982833862
296,Human,0,296,1.0824249982833862
297,Human,0,297,1.0824249982833862
298,Human,0,298,1.0824249982833862
299,Human,0,299,1.0824249982833862
300,Human,0,300,1.0824249982833862
301,Human,0,301,1.0824249982833862
