,0,1,2
85,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,3.71,8.258928
86,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,1.24,-0.2232143
87,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,0.772,8.482142
88,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,99.0,62.05357
89,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,49.5,57.14286
90,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,24.8,24.77678
91,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,12.4,20.3125
92,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,6.19,2.455357
93,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,3.71,11.60714
94,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,1.24,-4.6875
95,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,0.772,-0.6696429
96,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,99.0,82.88244
97,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,49.5,66.74864
98,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,24.8,49.92622
99,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,12.4,33.4973
100,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,6.19,7.722577
101,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,3.71,11.8544
102,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,1.24,-4.968028
103,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,0.772,3.590753
104,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,99.0,80.22626
105,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,49.5,67.24053
106,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,24.8,51.00836
107,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,12.4,35.1697
108,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,6.19,15.19921
109,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,3.71,11.46089
110,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,1.24,-4.771274
111,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,0.772,4.27939
112,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,99.0,76.78571
113,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,49.5,71.42857
114,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,24.8,46.20536
115,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,12.4,37.27679
116,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,6.19,11.83036
117,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,3.71,20.75893
118,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,1.24,0.4464286
119,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,0.772,10.26786
120,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,99.0,81.02679
121,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,49.5,75.44643
122,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,24.8,46.42857
123,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,12.4,37.27679
124,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,6.19,13.16964
125,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,3.71,22.54464
126,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,1.24,-2.678571
127,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,0.772,4.6875
128,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,99.0,79.93114
129,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,49.5,67.24053
130,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,24.8,49.43433
131,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,12.4,32.80865
132,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,6.19,11.26414
133,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,3.71,11.36252
134,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,1.24,-2.115101
135,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,0.772,3.98426
136,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,99.0,79.93114
137,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,49.5,67.53566
138,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,24.8,41.9577
139,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,12.4,34.28431
140,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,6.19,9.394982
141,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,3.71,14.70733
142,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,1.24,-6.542056
143,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,0.772,3.787506
144,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,99.0,75.89285
145,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,49.5,65.84821
146,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,24.8,44.86607
147,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,12.4,37.72321
148,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,6.19,14.28571
149,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,3.71,17.63393
150,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,1.24,2.678571
151,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,0.772,10.71429
152,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,99.0,80.35714
153,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,49.5,77.67857
154,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,24.8,43.97321
155,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,12.4,36.16071
156,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,6.19,12.05357
157,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,3.71,17.1875
158,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,1.24,-1.785714
159,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,0.772,1.5625
160,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,99.0,99.40974
161,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,49.5,98.42597
162,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,24.8,99.01623
163,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,12.4,96.36005
164,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,6.19,86.52238
165,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,3.71,73.53664
166,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.24,31.62814
167,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,0.772,28.77521
168,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,99.0,98.7211
169,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,49.5,99.01623
170,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,24.8,95.96655
171,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,12.4,97.04869
172,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,6.19,85.53861
173,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,3.71,73.33989
174,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.24,36.54697
175,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,0.772,28.57845
176,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,99.0,98.66071
177,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,49.5,97.09821
178,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,24.8,96.65179
179,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,12.4,98.66071
180,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,6.19,80.35714
181,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,3.71,72.54464
182,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.24,32.14286
183,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,0.772,30.13393
184,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,99.0,99.10714
185,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,49.5,104.6875
186,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,24.8,95.53571
187,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,12.4,97.54464
188,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,6.19,77.45535
189,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,3.71,71.875
190,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.24,28.57143
191,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,0.772,19.41964
192,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,99.0,57.59961
193,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,49.5,39.79341
