Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0014852,,O=C(Nc1ccccc1)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 0.131
CVD-0014851,,FC(F)c1nc2cc(ccc2[nH]1)C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 4.72
CVD-0014850,,CCc1ccc(cc1C(=O)N1CCC(CC1)C1CCNC1)S(C)(=O)=O,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 2.57
CVD-0014849,,CS(=O)(=O)c1ccccc1C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.244,< 3.53
CVD-0014848,,Cc1cc(cc(C)c1OC(F)F)C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 0.573
CVD-0014847,,CN1CCN(CC1)c1ccc(F)cc1C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< 2.27
CVD-0014846,,O=C(N1CCC(CC1)C1CCNC1)c1cccc(c1)N1CCCNC1=O,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 3.49
CVD-0014845,,CC(C)OCc1cc(ccc1F)C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 1.58
CVD-0014844,,CCCOc1c(Cl)cc(cc1OCC)C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< 0.844
CVD-0014843,,Cc1c(cccc1-c1ccccn1)C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 1.04
CVD-0014842,,CN(C)S(=O)(=O)c1cc(cc(C)c1C)C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< 2.29
CVD-0014841,,O=C(N1CCC(CC1)C1CCNC1)c1ccc2NC(=O)CCc2c1,> 99.5,> 99.5,,1,< 4.0,< 0.233,< 2.94
CVD-0014840,,CS(=O)(=O)Nc1ccc(Cl)cc1C(=O)N1CCC(CC1)C1CCNC1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 4.48
CVD-0014839,,Cc1ccc(Nc2ccccc2C(=O)N2CCC(CC2)C2CCNC2)cc1,> 99.5,> 99.5,,1,< 4.0,< 0.208,< -0.885
CVD-0014838,,O=C(N1CCC(CC1)C1CCNC1)c1cccc(CN2CCCC2=O)c1,> 99.5,> 99.5,,1,< 4.0,< 0.216,< 2.97
CVD-0014829,,FS(F)(F)(F)(F)c1cccc(Cc2nc3cnccc3c(=O)[nH]2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.233,< -0.0905
CVD-0014828,,FC(F)(F)c1cccc(Cc2nc3cnccc3c(=O)[nH]2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.255,< 1.22
CVD-0014819,,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(c1)-c1nnn[nH]1,21.4,21.4,,1,4.7,0.251,1.41
CVD-0014818,,CC(C(N)=O)c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,2.62,2.62,,1,5.6,0.301,2.79
CVD-0014806,,Clc1ccc2NCC[C@H](C(=O)Nc3cncc4ccccc34)c2c1,> 99.5,> 99.5,,1,< 4.0,< 0.233,< 1.04
CVD-0014805,,Clc1ccc2NCC[C@@H](C(=O)Nc3cncc4ccccc34)c2c1,0.23,0.23,,1,6.6,0.387,3.67
CVD-0014596,,Fc1cccc(CCNC(=O)C(N(C2CCCC3(CCC3)C2)C(=O)c2cnc[nH]2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 0.795
CVD-0014595,,CC(N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cnc[nH]1)c1ccccc1C,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 0.508
CVD-0014593,,CC(N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cnc[nH]1)c1ccccc1,> 99.0,> 99.0,,1,< 4.0,< 0.160,< 1.02
CVD-0014590,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cnc[nH]2)c2ccc(OC3CCOC3)cc2)c2cccnc2)c1,25.8,25.8,,1,4.6,0.165,2.34
CVD-0014589,,Fc1cccc(CCNC(=O)C(N(C2CCN(C2)c2ccccc2)C(=O)c2cnc[nH]2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.148,< 1.30
CVD-0014587,,Fc1cccc(CCNC(=O)C(N(C2CCN(C2)c2ccccc2F)C(=O)c2cnc[nH]2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.144,< 1.16
CVD-0014513,,NC[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,5.02,5.02,,1,5.3,0.285,2.8
CVD-0014512,,N[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,5.45,5.45,,1,5.3,0.295,2.86
CVD-0014509,,O[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0.988,0.988,,1,6,0.336,3.49
CVD-0014508,,Clc1ccc(cc1)C1CCCN(C1=O)c1cncc2ccccc12,78.2,78.2,,1,4.1,0.24,0.308
CVD-0014507,,COc1ccc2cncc(NC(=O)C3=CCOc4ccc(Cl)cc34)c2c1,(IC50 could not be calculated),,,,,,
CVD-0014506,,Fc1ccc2cncc(NC(=O)C3=CCOc4ccc(Cl)cc34)c2c1,(IC50 could not be calculated),,,,,,
CVD-0014505,,[O-][n+]1cc(NC(=O)[C@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,48.1,25.7,2.43,2,4.6,0.257,3.27
CVD-0014505,,[O-][n+]1cc(NC(=O)[C@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,13.7,25.7,2.43,2,4.6,0.257,3.27
CVD-0014504,,Clc1ccc2OCC[C@H](C(=O)Nc3cncc4ccncc34)c2c1,0.991,0.991,,1,6,0.35,3.89
CVD-0014503,,Clc1ccc2OCC[C@@H](C(=O)Nc3cncc4cnccc34)c2c1,3.1,3.1,,1,5.5,0.321,3.39
CVD-0014502,,Oc1cc(Cl)cc2C(CCOc12)C(=O)Nc1cncc2ccccc12,0.579,0.579,,1,6.2,0.349,3.21
CVD-0014471,,Clc1ccc2OCCC3(NC(=O)N(C3=O)c3cncc4ccccc34)c2c1,1.32,1.32,,1,5.9,0.305,3.33
CVD-0014470,,Clc1cccc(c1)N1CCN(CC1)C(=O)c1cc(=O)cc[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.255,< 2.12
CVD-0014469,,COc1ccccc1OCCNC(=O)c1cc(=O)cc[nH]1,> 99.5,> 99.5,,1,< 4.0,< 0.267,< 3.20
CVD-0014468,,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.384,0.261,1.72,2,6.6,0.419,2.56
CVD-0014468,,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.178,0.261,1.72,2,6.6,0.419,2.56
CVD-0014466,,Clc1cccc(c1)N1CCN(CC1)C(=O)C1CC(=O)Nc2ccccc12,20.9,20.9,,1,4.7,0.252,1.96
CVD-0014463,,COc1ccccc1OCCNC(=O)c1cc(=O)ccn1C,> 99.5,> 99.5,,1,< 4.0,< 0.255,< 2.81
CVD-0014426,,COC(=O)\C=C\C(=O)N(C(=O)[C@@H]1CCOc2ccc(Cl)cc12)c1cncc2ccccc12,0.5,0.5,,1,6.3,0.276,2.78
CVD-0014383,,Fc1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c2c1,0.767,0.767,,1,6.1,0.342,2.64
CVD-0014382,,CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,> 99.5,> 99.5,,1,< 4.0,< 0.200,< 1.90
CVD-0014381,,CCN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,> 99.5,> 99.5,,1,< 4.0,< 0.193,< 1.54
CVD-0014367,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2cccc(Oc3cccnn3)c2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.140,< 1.61
CVD-0014361,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2ccc(Cn3cccn3)cc2)c2cccnc2)c1,35.5,35.5,,1,4.5,0.16,1.8
CVD-0014355,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2ccc(cc2)C2COC2)c2cccnc2)c1,22.7,22.7,,1,4.6,0.176,2.49
CVD-0014354,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2cccc(c2)C2COC2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 1.85
CVD-0014353,,CN1C(=O)CCc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.144,< 2.10
CVD-0014352,,FC(F)CN1C(=O)CCc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,47.8,47.8,,1,4.3,0.144,1.95
CVD-0014351,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2ccc3c(CCCS3(=O)=O)c2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.144,< 2.03
CVD-0014350,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2cnc(nc2)C2CCC2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 1.94
CVD-0014342,,Cc1nc2ccc(cc2o1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 2.03
CVD-0014340,,Cn1ccc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 1.18
CVD-0014336,,Cn1cnc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 1.99
CVD-0014335,,Cn1ncc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 2.06
CVD-0014329,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2ccc3CCOCc3c2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.152,< 1.59
CVD-0014326,,Fc1cccc(CCNC(=O)C(N(C(=O)c2c[nH]cn2)c2ccc3ncsc3c2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 1.36
CVD-0014324,,Fc1cccc(CCNC(=O)C(N(C2CCC3(CCO3)CC2)C(=O)c2c[nH]cn2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 2.29
CVD-0014322,,Fc1cccc(CCNC(=O)C(N(C2CCC3OCCC3C2)C(=O)c2c[nH]cn2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 2.22
CVD-0014319,,COc1cc(ccc1S(=O)(=O)N(C)C)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.137,< 2.61
CVD-0014306,,CCOc1ccc(cn1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 1.93
CVD-0014303,,COc1ccccc1CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.156,< 1.60
CVD-0014298,,COCc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,62.9,62.9,,1,4.2,0.163,1.83
CVD-0014295,,CS(=O)(=O)Cc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,41.1,41.1,,1,4.4,0.162,3.28
CVD-0014294,,COc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,93.7,93.7,,1,4,0.161,1.69
CVD-0014292,,CC(C)Oc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,0.592,0.712,1.3,2,6.1,0.233,3.03
CVD-0014292,,CC(C)Oc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,0.857,0.712,1.3,2,6.1,0.233,3.03
CVD-0014291,,FC(F)Oc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,22.1,22.1,,1,4.7,0.176,1.39
CVD-0014289,,CC(C)S(=O)(=O)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]cn1,> 99.0,> 99.0,,1,< 4.0,< 0.144,< 1.59
CVD-0014288,,Fc1cccc(CCNC(=O)C(N(C2CCCCCC2)C(=O)c2c[nH]cn2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.165,< 0.918
CVD-0014286,,Fc1cccc(CCNC(=O)C(N(Cc2cccnc2)C(=O)c2c[nH]cn2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.165,< 2.66
CVD-0014282,,Fc1cccc(CCNC(=O)C(N(Cc2ccccc2)C(=O)c2c[nH]cn2)c2cccnc2)c1,> 99.0,> 99.0,,1,< 4.0,< 0.165,< 1.44
CVD-0014274,,Clc1ccc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,0.42,0.446,1.09,2,6.4,0.356,3.8
CVD-0014274,,Clc1ccc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,0.473,0.446,1.09,2,6.4,0.356,3.8
CVD-0014272,,Clc1ccc2N(Cc3ncn[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,1.4,1.4,,1,5.9,0.273,3.54
CVD-0014269,,CN(C)C(=O)CN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,2.54,2.54,,1,5.6,0.261,2.88
CVD-0014266,,Clc1ccc2N(Cc3ccn[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,0.803,0.803,,1,6.1,0.284,2.55
CVD-0014265,,Clc1ccc2N(Cc3ncc[nH]3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,0.78,0.78,,1,6.1,0.285,2.83
CVD-0014262,,Clc1ccc2N(Cc3ccccc3)CCC(C(=O)Nc3cncc4ccccc34)c2c1,1.06,1.06,,1,6,0.27,0.65
CVD-0014261,,COCCN1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,0.564,0.564,,1,6.2,0.312,2.7
CVD-0014255,,NC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,0.998,0.998,,1,6,0.311,3.74
CVD-0014253,,COc1ccccc1OCCNC(=O)C1CC(=O)Nc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 2.36
CVD-0014252,,CC1CN(CCN1c1cccc(Cl)c1)C(=O)c1cc(=O)[nH]c2ccccc12,14.7,14.7,,1,4.8,0.251,1.34
CVD-0014251,,Clc1cccc(c1)N1CCN(CC1)C(=O)c1cncc2ccccc12,1.6,1.6,,1,5.8,0.324,2.41
CVD-0014248,,COc1cccc2[nH]c(=O)cc(C(=O)N3CCN(CC3)c3cccc(Cl)c3)c12,4.68,4.68,,1,5.3,0.266,2.42
CVD-0014247,,COc1ccc(Cl)cc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,0.874,0.874,,1,6.1,0.303,3.62
CVD-0014245,,CC(=O)N1CCC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc12,0.936,0.936,,1,6,0.313,3.44
CVD-0014244,,Clc1ccc2OCCN(C(=O)Cc3cncc4ccccc34)c2c1,6.05,6.05,,1,5.2,0.304,2.26
CVD-0014239,,[O-][n+]1cc(NC(=O)[C@@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 2.68
CVD-0014239,,[O-][n+]1cc(NC(=O)[C@@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,(IC50 could not be calculated because value was manually overridden),> 99.5,,1,< 4.0,< 0.224,< 2.68
CVD-0014238,,Clc1ccc2OCCC(C(=O)Nc3cncc4CCNCc34)c2c1,6.16,6.16,,1,5.2,0.304,3.27
CVD-0014233,,CS(=O)(=O)c1ccc2cncc(NC(=O)C3CCOc4ccc(Cl)cc34)c2c1,0.964,0.964,,1,6,0.301,3.84
CVD-0014229,,Clc1ccc2OCCC(C(=O)Nc3cncc4ccc(cc34)C#N)c2c1,2.75,2.75,,1,5.6,0.299,2.37
CVD-0014223,,Clc1ccc2OCCN(C(=O)Nc3cncc4ccccc34)c2c1,11.4,11.4,,1,4.9,0.288,1.91
CVD-0014221,,Clc1ccc2OCC[C@@H](C(=O)Nc3cncc4ccncc34)c2c1,> 7.46,> 7.46,,1,< 5.1,< 0.299,< 3.01
CVD-0014220,,Clc1ccc2OCC[C@H](C(=O)Nc3cncc4cnccc34)c2c1,(IC50 could not be calculated),,,,,,
CVD-0014217,,COc1cccc2[nH]c(=O)cc(C(=O)NCCOc3ccccc3OCC3CC3)c12,3.03,1.92,3.82,3,5.7,0.267,3.1
CVD-0014217,,COc1cccc2[nH]c(=O)cc(C(=O)NCCOc3ccccc3OCC3CC3)c12,5.52,1.92,3.82,3,5.7,0.267,3.1
CVD-0014217,,COc1cccc2[nH]c(=O)cc(C(=O)NCCOc3ccccc3OCC3CC3)c12,0.425,1.92,3.82,3,5.7,0.267,3.1
CVD-0014210,CDD-2386495,CC(=O)Nc1ccc(cn1)N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,0.625,0.625,,1,6.2,0.271,2.58
CVD-0014208,CDD-2386493,Cc1ccc(nc1)N(Cc1cscn1)C(=O)Cc1cncc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.208,< 0.966
CVD-0014207,CDD-2386492,Cc1ccc(cc1)N(Cc1cscn1)C(=O)Cc1cncc2ccccc12,8.09,8.09,,1,5.1,0.264,1.43
CVD-0014206,CDD-2386491,CCC(=O)Nc1ccc(cc1)N(Cc1ccccc1)C(=O)n1nnc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.187,< -0.0534
CVD-0014180,CDD-2386465,Clc1cccc(NC(=O)Cc2cncc3ccccc23)c1,6.47,6.47,,1,5.2,0.346,1.77
CVD-0014179,CDD-2386464,Oc1ccc(Cl)c2C(CCOc12)C(=O)Nc1cncc2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 0.973
CVD-0014171,CDD-2386456,Clc1ccc2OCCC(C(=O)Nc3c[nH]c(=O)c4ccccc34)c2c1,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 1.90
CVD-0014160,CDD-2386445,Clc1ccc2OCCC3(CC(=O)N(C3=O)c3cncc4ccccc34)c2c1,0.486,0.486,,1,6.3,0.327,3.45
CVD-0014153,CDD-2386439,Brc1ccc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,1.12,1.12,,1,5.9,0.333,3.24
CVD-0014094,CDD-2386381,Clc1cccc(c1)N1CCN(CC1=O)C(=O)c1cncc2ccccc12,9.19,9.19,,1,5,0.271,2.78
CVD-0014093,CDD-2385588,Clc1cccc(c1)N1CCN(CC1=O)C(=O)c1cc(=O)[nH]c2ccccc12,15.8,15.8,,1,4.8,0.249,2.86
CVD-0013943,CDD-2386233,CO[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0.0874,0.084,1.06,2,7.1,0.381,3.92
CVD-0013943,CDD-2386233,CO[C@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0.0806,0.084,1.06,2,7.1,0.381,3.92
CVD-0013939,,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccnc12,> 99.5,> 99.5,,1,< 4.0,< 0.280,< 2.01
CVD-0013938,,Cc1cc(nc2n(nc(N)c12)C(=O)C1CCOc2ccc(Cl)cc12)C(F)(F)F,> 99.5,> 99.5,,1,< 4.0,< 0.200,< 0.343
CVD-0013917,,Cc1cc(nc2n(nc(N)c12)C(=O)Cc1cccc(Cl)c1)C(F)(F)F,> 99.5,> 99.5,,1,< 4.0,< 0.224,< 0.255
CVD-0013916,,COc1ccc2c(N)nn(C(=O)C3CCOc4ccc(Cl)cc34)c2c1,(IC50 could not be calculated),,,,,,
CVD-0013915,CDD-2386209,Clc1ccc(NC(=O)C(N(C(=O)C=C)c2ccc(I)cc2)c2cncnc2)cc1,26.3,26.3,,1,4.6,0.221,0.291
CVD-0013894,,Nc1nn(C(=O)C2CCOc3ccc(Cl)cc23)c2ccncc12,87.2,87.2,,1,4.1,0.247,2.55
CVD-0013893,,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cc(F)ccc12,> 99.5,> 99.5,,1,< 4.0,< 0.267,< 1.04
CVD-0013887,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCc1ccccc1)c1cccnc1)C(=O)c1ccco1,4.36,4.36,,1,5.4,0.214,0.488
CVD-0013886,,CC(C)(C)c1ccc(cc1)N(C(C(=O)Nc1ccccc1)c1cccnc1)C(=O)c1ccco1,11.2,11.2,,1,5,0.204,-0.215
CVD-0013885,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCN1CCOCC1)c1cccnc1)C(=O)c1ccco1,2.19,2.19,,1,5.7,0.22,2.71
CVD-0013883,,CN(C)C(=O)CNC(=O)C(N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)c1cccnc1,10.9,10.9,,1,5,0.204,2.69
CVD-0013882,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccn[nH]1,1.78,1.78,,1,5.7,0.218,1.28
CVD-0013881,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)C1CCCN1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< -0.513
CVD-0013880,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,0.557,0.557,,1,6.3,0.237,1.68
CVD-0013879,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1nccs1,0.8,0.8,,1,6.1,0.231,0.817
CVD-0013878,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1n[nH]c2ccccc12)C(=O)c1ccco1,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -2.12
CVD-0013877,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ncc[nH]1,5.29,5.29,,1,5.3,0.2,0.774
CVD-0013876,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cn2ccccc2n1,18.2,18.2,,1,4.7,0.162,-0.676
CVD-0013875,,Cc1ccncc1C(N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,0.112,0.112,,1,7,0.256,1.13
CVD-0013874,,COc1ccccc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -2.08
CVD-0013873,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnc2ccccn12)C(=O)c1ccco1,37.5,37.5,,1,4.4,0.155,-0.802
CVD-0013872,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cccc(c1)C#N,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -2.10
CVD-0013871,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncc2ccccc12)C(=O)c1ccco1,0.403,0.403,,1,6.4,0.218,0.102
CVD-0013870,,Cn1nc(C(N(C(=O)c2ccco2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c2ccccc12,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -2.35
CVD-0013869,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccncc1,> 99.5,> 99.5,,1,< 4.0,< 0.147,< -1.02
CVD-0013867,,Cn1cncc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.147,< -0.267
CVD-0013866,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1coc2ccccc12)C(=O)c1ccco1,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -2.68
CVD-0013865,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)C1CCCO1,5.56,5.56,,1,5.3,0.199,0.422
CVD-0013864,,COc1cncc(C(N(C(=O)c2ccco2)c2ccc(cc2)C(C)(C)C)C(=O)NCCc2cccc(F)c2)c1C,> 99.5,> 99.5,,1,< 4.0,< 0.140,< -1.66
CVD-0013862,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccccc1,> 99.5,> 99.5,,1,< 4.0,< 0.147,< -2.24
CVD-0013861,,Nc1ccc2[nH]c(cc2c1)C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,> 99.5,> 99.5,,1,< 4.0,< 0.144,< 1.09
CVD-0013860,,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1snc2ccccc12)C(=O)c1ccco1,5.33,5.33,,1,5.3,0.185,-1.73
CVD-0013859,,CC(=O)c1ccccc1C(=O)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccc(cc1)C(C)(C)C,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -1.80
CVD-0013858,,COC(=O)C(C)(CN(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1)c1ccccc1F,> 99.5,> 99.5,,1,< 4.0,< 0.137,< -0.335
CVD-0013857,,Fc1cccc(CCNC(=O)C(N(C2CCN(CC2)c2ccccc2)C(=O)c2ccco2)c2cccnc2)c1,79.6,79.6,,1,4.1,0.147,0.0803
