Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0015464,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccccc2)c2cccnc2)c1,89.2,89.2,,1,4,0.172,1.02
CVD-0015463,,Cc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,50.2,50.2,,1,4.3,0.177,0.76
CVD-0015462,,Fc1cccc(CCNC(=O)C(N(C2CCN(C2)c2ccccc2F)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.144,< 0.633
CVD-0015461,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc3c(CCCS3(=O)=O)c2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.144,< 1.50
CVD-0015460,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc3ncsc3c2)c2cccnc2)c1,60.5,60.5,,1,4.2,0.164,1.05
CVD-0015459,,Fc1cccc(CCNC(=O)C(N(C2CCc3ccccc23)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.156,< 0.365
CVD-0015458,,Fc1cccc(CCNC(=O)C(N(C2CCCCCC2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.165,< 0.390
CVD-0015457,,Cc1nc2ccc(cc2o1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 1.51
CVD-0015456,,Cn1ccc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,23.8,23.8,,1,4.6,0.175,1.28
CVD-0015455,,COc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,22.2,22.2,,1,4.7,0.186,1.79
